Customer Name,Customer Mail ID,,Date and Time,Server Name,Server EMPID,Customer Age,Dining Preference,Room Preference,Sports Activity,Wellness,Pricing Pattern
Amanda Martin,rothselena@gmail.com,,03-06-2024 19:12,Austin,EMP3139,77,Yes,Suite,No,Pool,Low
Blake Wheeler,hmyers@walker-haynes.com,,25-12-2023 11:50,Mary,EMP4033,24,No,Deluxe,No,Spa,High
Katherine Norman,johnsonkurt@gmail.com,,31-12-2023 12:52,Ashley,EMP4194,72,No,Standard,No,Gym,High
Randy Gallegos,krauseisaac@young.com,,22-10-2024 10:01,Tina,EMP3338,24,Yes,Suite,No,Gym,Low
Jeremy Rose,danielmartin@barnes-house.info,,06-12-2024 07:31,Brianna,EMP8798,60,Yes,Standard,Yes,Gym,High
Mrs. Kristina Khan DVM,kennethnewman@gmail.com,,18-08-2024 11:00,Andrew,EMP3068,36,Yes,Deluxe,Yes,Gym,Low
Dr. Sheri Thompson,nreese@montoya.com,,26-12-2023 20:27,Robert,EMP2498,72,Yes,Suite,Yes,Gym,Low
Lauren Davis,egreene@lewis.org,,28-07-2024 07:27,Kelly,EMP7855,24,Yes,Standard,Yes,Pool,Medium
Matthew Simpson,edward30@gmail.com,,27-12-2023 17:51,Marco,EMP9511,24,Yes,Deluxe,Yes,Pool,Medium
Kimberly Massey,bevans@hotmail.com,,09-04-2024 19:01,Stephanie,EMP3282,71,No,Standard,No,Gym,Medium
Corey Turner,michael61@gmail.com,,17-03-2024 22:04,Douglas,EMP4972,43,No,Standard,Yes,Pool,Low
Nancy Jones,cooperjonathan@rodriguez-clark.info,,07-07-2024 03:37,Haley,EMP6425,34,Yes,Standard,No,Spa,Low
Ashley Parsons,gregoryjohnson@hotmail.com,,11-01-2024 04:07,John,EMP9495,49,Yes,Suite,Yes,Pool,Medium
Nathan Stafford,tranpatricia@henderson.com,,22-10-2024 16:38,Susan,EMP1259,61,Yes,Suite,No,Spa,Medium
Diane Gonzalez,omcintosh@gmail.com,,28-05-2024 07:19,Michael,EMP9820,51,No,Standard,No,Spa,High
Julian Romero,petersonbrett@gmail.com,,03-05-2024 09:08,Rachel,EMP6144,49,No,Deluxe,Yes,Gym,Low
Jessica Valencia,lawrencemarissa@gentry-atkinson.com,,05-06-2024 06:34,Howard,EMP1345,41,No,Deluxe,No,Pool,Medium
Lisa Austin,hunterhernandez@gmail.com,,09-03-2024 17:47,Erik,EMP4983,30,Yes,Suite,Yes,Pool,Low
Michelle Garcia,david88@yahoo.com,,09-03-2024 18:26,Susan,EMP8472,72,Yes,Standard,Yes,Spa,Low
Luke Johnson,tromero@yahoo.com,,14-07-2024 03:15,Joe,EMP4771,77,Yes,Deluxe,Yes,Pool,Low
Anna Chen,destiny55@hotmail.com,,30-12-2023 10:58,Charles,EMP2178,33,No,Suite,No,Pool,High
Thomas Williams,ywilliams@garcia.biz,,16-06-2024 12:28,Phillip,EMP7533,79,Yes,Deluxe,Yes,Pool,High
Tyler Jimenez,carlaburgess@lynch.net,,19-09-2024 02:44,Patrick,EMP2147,44,No,Deluxe,Yes,Spa,High
Jeffrey Ramirez,changjuan@gmail.com,,25-03-2024 12:15,Mark,EMP8545,58,Yes,Standard,No,Pool,Low
Marc Moore,tiffany71@hotmail.com,,06-02-2024 04:44,Larry,EMP7563,66,No,Standard,Yes,Pool,High
Jessica Martin,gregory71@cantrell.biz,,22-09-2024 05:03,Olivia,EMP8386,63,No,Standard,Yes,Gym,High
Emily Anderson,qhawkins@yahoo.com,,10-03-2024 16:50,James,EMP7190,72,No,Standard,No,Spa,Medium
Benjamin Schaefer,davislori@gmail.com,,29-06-2024 10:44,Jermaine,EMP5301,79,No,Suite,Yes,Spa,Low
Steven Campos,hoffmanrobert@shields.net,,10-11-2024 21:34,David,EMP8248,67,No,Suite,Yes,Spa,Medium
Jessica Drake,mmartinez@yahoo.com,,14-05-2024 19:12,Kevin,EMP3880,71,No,Suite,No,Pool,High
Sean Thomas,johnsonstephanie@gmail.com,,14-12-2024 07:06,Eric,EMP8162,46,Yes,Suite,No,Spa,High
Sarah White,xmorgan@hotmail.com,,14-10-2024 04:45,Vincent,EMP1468,21,No,Deluxe,Yes,Pool,High
Keith Freeman,whitealejandro@yahoo.com,,10-04-2024 22:11,William,EMP3273,27,Yes,Deluxe,No,Gym,Medium
Marc Holland,melissaperkins@hotmail.com,,05-07-2024 04:21,Pamela,EMP3606,64,Yes,Standard,Yes,Pool,High
Sarah Liu,berryamanda@hotmail.com,,11-04-2024 03:32,Jeffrey,EMP6069,30,No,Standard,Yes,Spa,Low
Melissa Perez,tabitha47@wright.com,,11-04-2024 14:47,Sandra,EMP3850,23,Yes,Suite,Yes,Pool,High
Robert Kline,willisglenn@gmail.com,,08-03-2024 20:01,Jody,EMP1358,78,No,Suite,No,Pool,Medium
Andrea Carlson,kthomas@gmail.com,,05-06-2024 01:20,Evan,EMP3325,66,No,Deluxe,Yes,Gym,High
Kristin Myers,randywarren@guerra-schmidt.com,,21-01-2024 19:11,Charles,EMP8480,78,Yes,Suite,No,Gym,Medium
Brad Richmond,adkinskatherine@smith-kim.net,,02-09-2024 21:18,Diana,EMP6914,62,No,Standard,Yes,Pool,Medium
Jill Valdez,kmontgomery@gmail.com,,13-09-2024 07:32,Mark,EMP2727,56,Yes,Deluxe,No,Spa,Low
Sherry Miles,andrewwilliams@gmail.com,,02-06-2024 18:26,Tricia,EMP8332,79,Yes,Suite,Yes,Spa,Low
Gregory Allen,wrightmichael@hotmail.com,,06-07-2024 17:26,Brandon,EMP9157,24,Yes,Deluxe,No,Spa,Low
Rodney Banks,dorseyjoyce@townsend-chambers.com,,13-06-2024 12:37,Amy,EMP7750,64,Yes,Standard,Yes,Gym,Medium
David Mason,brandon42@yahoo.com,,04-09-2024 18:51,Dawn,EMP1506,29,Yes,Deluxe,Yes,Spa,High
Jackson Rosario,brooksruth@schmidt.org,,08-07-2024 16:58,Jennifer,EMP2286,40,No,Standard,Yes,Pool,Low
Anthony Trujillo,hernandezrussell@hall-brown.com,,29-08-2024 12:08,James,EMP2531,66,No,Deluxe,Yes,Spa,Low
Andrew Phillips,lukegarcia@zhang-smith.biz,,16-09-2024 05:23,Michael,EMP2319,28,Yes,Deluxe,No,Gym,Medium
Steven Larson,walterssusan@lopez.com,,20-02-2024 23:12,Elizabeth,EMP6359,40,No,Suite,Yes,Gym,Low
Jorge Brown,orodriguez@gmail.com,,15-12-2024 17:02,Amy,EMP9660,75,Yes,Suite,No,Gym,Medium
Tonya Paul,dianabryant@webb-beltran.com,,21-01-2024 10:56,Nicholas,EMP8133,34,No,Suite,Yes,Pool,Medium
Deborah King,sjames@hotmail.com,,12-04-2024 14:29,Kimberly,EMP1000,50,No,Deluxe,Yes,Pool,Medium
Bonnie Murphy,kellerkrystal@gmail.com,,13-05-2024 16:29,Lisa,EMP8476,74,Yes,Standard,No,Spa,High
Jeffrey Howell,jimmybaker@moore-tucker.com,,14-09-2024 23:51,Douglas,EMP1872,41,Yes,Standard,Yes,Spa,High
Seth Lawson DDS,margaretadkins@snyder.com,,23-11-2024 13:00,Sherry,EMP8629,39,Yes,Deluxe,No,Pool,Low
Bruce Garcia,emoore@ross.info,,30-12-2023 04:10,Kelly,EMP9769,26,Yes,Deluxe,No,Spa,Medium
Duane Hernandez,lorismith@keller-shaw.com,,09-05-2024 14:12,Tiffany,EMP7531,37,Yes,Standard,Yes,Spa,Medium
Gwendolyn Roth,lindsey73@yahoo.com,,02-09-2024 12:33,Karen,EMP2932,65,Yes,Deluxe,No,Spa,Medium
Amber Clark,victorroach@harrison-mathis.org,,22-10-2024 00:05,Allen,EMP6643,49,Yes,Deluxe,Yes,Pool,High
Joseph Cole,rspencer@yahoo.com,,03-05-2024 18:39,Leah,EMP9871,54,Yes,Suite,Yes,Pool,High
Jessica Brandt,michellesilva@gmail.com,,16-05-2024 03:35,Andres,EMP1129,44,Yes,Deluxe,Yes,Gym,High
Fernando Hammond,ithompson@gmail.com,,30-01-2024 16:25,Stephanie,EMP2014,74,Yes,Suite,Yes,Pool,Low
Julia Gonzalez,raymond29@gmail.com,,10-10-2024 05:08,Mary,EMP1740,73,Yes,Standard,Yes,Pool,Medium
Steven Johnson,jamesbennett@humphrey.biz,,13-12-2024 08:43,Deborah,EMP7432,56,Yes,Standard,Yes,Spa,High
Jose Salinas,ryan54@gmail.com,,08-01-2024 12:31,Stephanie,EMP7249,68,No,Suite,No,Spa,Low
Mrs. Jordan Davenport,deborahsherman@combs.com,,07-03-2024 16:30,Jennifer,EMP9553,55,Yes,Standard,Yes,Spa,Medium
Samantha Davis,hillbrandon@jones.com,,11-08-2024 07:08,Wyatt,EMP3013,58,Yes,Standard,No,Pool,Low
Kyle Hall,christinaanderson@anderson.com,,11-05-2024 14:42,Donald,EMP8092,59,No,Suite,No,Gym,High
Todd Marsh,braunjonathan@hotmail.com,,23-04-2024 17:59,Melissa,EMP9972,49,Yes,Deluxe,Yes,Gym,Medium
Christopher Crane,mcdonaldhannah@hotmail.com,,24-04-2024 13:41,Larry,EMP5383,68,Yes,Standard,Yes,Pool,High
Christopher Gonzalez,heather31@dunn-curtis.com,,31-05-2024 21:24,Jason,EMP2619,73,No,Suite,Yes,Pool,Low
Jason Ibarra,cconway@gmail.com,,28-09-2024 09:31,Sean,EMP6749,66,No,Standard,Yes,Pool,Medium
Michael Spears,morenoashley@hotmail.com,,29-08-2024 15:18,Janet,EMP7308,65,Yes,Suite,Yes,Gym,Low
Sarah Brooks,peternelson@day.com,,17-01-2024 03:40,Joseph,EMP1183,36,No,Deluxe,No,Spa,High
Anna Parker,washingtonandrea@hotmail.com,,12-04-2024 16:32,Daniel,EMP5503,47,No,Suite,No,Gym,Low
Victor Huynh,smithkevin@parker.org,,09-05-2024 23:31,Walter,EMP3111,23,Yes,Deluxe,No,Pool,Medium
Jennifer Wright,heatherthomas@hotmail.com,,23-07-2024 10:25,Pamela,EMP3214,35,No,Suite,No,Gym,High
Diana Baxter,walkerellen@fox.net,,06-04-2024 21:40,Jennifer,EMP3466,55,Yes,Deluxe,No,Spa,Low
Sean Turner,williamsbeverly@yahoo.com,,07-09-2024 17:15,Jose,EMP4082,41,Yes,Suite,Yes,Pool,High
Melvin Cross,mcmillanjillian@hayes.com,,26-07-2024 23:15,Sarah,EMP9915,69,Yes,Suite,No,Pool,Medium
Kristin Morton,sjennings@cohen.com,,06-10-2024 10:51,Michelle,EMP2920,19,No,Standard,No,Spa,Medium
Tamara Keller,jphillips@gmail.com,,25-10-2024 11:21,Jessica,EMP4014,34,No,Suite,Yes,Gym,Low
Julie Reed,hrobinson@hughes-gilmore.info,,09-06-2024 06:30,Michael,EMP8567,48,Yes,Standard,No,Spa,High
Lori Barrera,edwardslisa@hotmail.com,,02-06-2024 13:58,Tara,EMP3903,56,No,Deluxe,Yes,Pool,Low
Elizabeth Guerrero,amandawalker@jenkins.com,,22-10-2024 13:09,Kimberly,EMP3195,74,Yes,Standard,No,Pool,Medium
Chad Bishop,melanie26@gmail.com,,26-11-2024 08:50,Kyle,EMP9464,55,Yes,Standard,Yes,Gym,High
Brian Davis,jonesamanda@yahoo.com,,22-02-2024 07:04,Scott,EMP4803,68,No,Suite,Yes,Gym,High
Jason Johnson,kromero@powell-rogers.com,,31-01-2024 21:28,Juan,EMP3560,59,No,Suite,No,Spa,Low
David Contreras,singletonbarbara@patel-ross.com,,07-10-2024 22:05,Ashley,EMP3470,74,Yes,Suite,Yes,Pool,High
Angela Simmons,zortega@knight.com,,27-03-2024 08:30,Stephanie,EMP9295,49,Yes,Suite,No,Spa,Low
James Norman,cwright@hotmail.com,,06-12-2024 06:48,Christopher,EMP6443,68,Yes,Suite,No,Pool,High
Gabriella Lawson,handrews@gmail.com,,09-09-2024 13:08,Taylor,EMP2220,25,No,Deluxe,Yes,Gym,Medium
Joyce Perez,catherinemullins@williams.com,,07-09-2024 07:39,Michael,EMP3715,22,No,Deluxe,Yes,Spa,Low
Carrie Reyes,hernandezchristian@gmail.com,,27-08-2024 15:03,Christy,EMP7457,20,No,Deluxe,Yes,Gym,High
Antonio Cohen,xrivera@harper.com,,17-01-2024 04:34,Robert,EMP5963,57,Yes,Standard,No,Spa,Medium
Jessica Garcia,natalie04@gmail.com,,16-06-2024 06:02,Henry,EMP9551,79,Yes,Suite,Yes,Pool,High
Harry Thornton,castanedafrank@yahoo.com,,03-01-2024 16:16,Amy,EMP4180,25,No,Suite,Yes,Pool,Medium
John Castro,james43@yahoo.com,,10-02-2024 12:27,Greg,EMP5002,51,No,Deluxe,Yes,Spa,High
